,Quarter,Time,Tm,Detail,OAK,DEN
0,2.0,14:10,Raiders,Daniel Carlson 23 yard field goal,3,0
1,2.0,8:25,Broncos,Brandon McManus 43 yard field goal,3,3
2,2.0,0:33,Broncos,Andrew Beck 1 yard pass from Drew Lock (Brandon McManus kick),3,10
3,3.0,4:41,Broncos,Brandon McManus 49 yard field goal,3,13
4,4.0,15:00,Broncos,Brandon McManus 51 yard field goal,3,16
5,4.0,9:07,Raiders,Daniel Carlson 33 yard field goal,6,16
6,4.0,3:13,Raiders,Daniel Carlson 28 yard field goal,9,16
7,4.0,0:11,Raiders,Hunter Renfrow 3 yard pass from Derek Carr (pass failed),15,16
