,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Mark Duper 11 yard pass from Dan Marino (Uwe von Schamann kick),7,0
1,2.0,Dolphins,Mark Clayton 12 yard pass from Dan Marino (Uwe von Schamann kick),14,0
2,2.0,Bills,Joe Danelo 33 yard field goal,14,3
3,3.0,Dolphins,Nat Moore 1 yard pass from Dan Marino (Uwe von Schamann kick),21,3
4,3.0,Bills,Speedy Neal 1 yard rush (Joe Danelo kick),21,10
5,4.0,Bills,Julius Dawkins 37 yard pass from Joe Ferguson (Joe Danelo kick),21,17
