,Quarter,Tm,Detail,KAN,STL
0,1.0,Cardinals,Terry Metcalf 22 yard pass from Jim Hart,0,6
1,3.0,Chiefs,Jeff Kinney 4 yard pass from Len Dawson (Jan Stenerud kick),7,6
2,4.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),14,6
3,4.0,Chiefs,Jan Stenerud 22 yard field goal,17,6
4,4.0,Cardinals,Terry Metcalf 2 yard rush (Jim Bakken kick),17,13
