,Quarter,Time,Tm,Detail,TEN,CAR
0,2.0,13:34,Panthers,Joey Slye 35 yard field goal,0,3
1,2.0,8:10,Panthers,Christian McCaffrey 7 yard pass from Kyle Allen (Joey Slye kick),0,10
2,2.0,1:04,Panthers,Curtis Samuel 12 yard pass from Kyle Allen (Joey Slye kick),0,17
3,3.0,10:18,Titans,Derrick Henry 8 yard rush (Ryan Succop kick),7,17
4,3.0,5:19,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),7,24
5,4.0,14:24,Titans,Derrick Henry 23 yard pass from Ryan Tannehill (Ryan Succop kick),14,24
6,4.0,10:33,Panthers,Christian McCaffrey 58 yard rush (Joey Slye kick failed),14,30
7,4.0,2:58,Titans,Ryan Tannehill 10 yard rush (pass failed),20,30
