,Quarter,Time,Tm,Detail,PHI,BAL
0,2.0,3:00,Ravens,Matt Stover 44 yard field goal,0,3
1,2.0,1:49,Ravens,Daniel Wilcox 1 yard pass from Joe Flacco (Matt Stover kick),0,10
2,2.0,1:37,Eagles,Quintin Demps 100 yard kickoff return (David Akers kick),7,10
3,3.0,6:01,Ravens,"Safety, Jameel McClain blocked punt out of bounds in end zone.",7,12
4,4.0,14:52,Ravens,Matt Stover 42 yard field goal,7,15
5,4.0,11:30,Ravens,Mark Clayton 53 yard pass from Joe Flacco (Matt Stover kick),7,22
6,4.0,7:24,Ravens,Ed Reed 107 yard interception return (Matt Stover kick),7,29
7,4.0,3:10,Ravens,Le'Ron McClain 1 yard rush (Matt Stover kick),7,36
