,Quarter,Time,Tm,Detail,PHI,OAK
0,1.0,,Eagles,Charlie Garner 7 yard rush (Gary Anderson kick),7,0
1,1.0,,Eagles,Gary Anderson 30 yard field goal,10,0
2,1.0,,Eagles,Greg Jackson 45 yard defensive fumble return (Gary Anderson kick),17,0
3,2.0,,Raiders,Cole Ford 35 yard field goal,17,3
4,2.0,,Raiders,Harvey Williams 1 yard rush (Cole Ford kick),17,10
5,2.0,,Raiders,Austin Robbins 6 yard defensive fumble return (Cole Ford kick),17,17
6,3.0,,Raiders,Cole Ford 28 yard field goal,17,20
7,3.0,,Raiders,Derrick Fenner 7 yard pass from Jeff Hostetler (Cole Ford kick),17,27
8,4.0,,Raiders,Harvey Williams 4 yard rush (Cole Ford kick),17,34
9,4.0,,Raiders,Rob Fredrickson 35 yard defensive fumble return (Cole Ford kick),17,41
10,4.0,,Raiders,Daryl Hobbs 54 yard pass from Vince Evans (Cole Ford kick),17,48
