,Quarter,Tm,Detail,NYG,RAM
0,1.0,Rams,Mike Lansford 44 yard field goal,0,3
1,1.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),0,10
2,2.0,Giants,Raul Allegre 22 yard field goal,3,10
3,2.0,Rams,Aaron Cox 51 yard pass from Jim Everett (Mike Lansford kick),3,17
4,2.0,Rams,Flipper Anderson 21 yard pass from Jim Everett (Mike Lansford kick),3,24
5,3.0,Rams,Greg Bell 2 yard rush (Mike Lansford kick),3,31
6,4.0,Giants,Ottis Anderson 1 yard rush (Raul Allegre kick),10,31
