,Quarter,Time,Tm,Detail,SFO,MIN
0,1.0,10:14,Vikings,Dewayne Washington 17 yard defensive fumble return (Fuad Reveiz kick),0,7
1,2.0,10:14,49ers,Jerry Rice 6 yard pass from Steve Young (Doug Brien kick),7,7
2,2.0,10:14,Vikings,Fuad Reveiz 48 yard field goal,7,10
3,3.0,10:14,Vikings,Fuad Reveiz 27 yard field goal,7,13
4,3.0,10:14,Vikings,Terry Allen 1 yard rush (Terry Allen run),7,21
5,4.0,10:14,49ers,Ed McCaffrey 1 yard pass from Elvis Grbac (Doug Brien kick),14,21
