,Quarter,Time,Tm,Detail,TAM,CHI
0,1,12:43,Bears,Robbie Gould 40 yard field goal,0,3
1,1,6:10,Bears,Robbie Gould 43 yard field goal,0,6
2,1,1:50,Buccaneers,Ike Hilliard 4 yard pass from Brian Griese (Matt Bryant kick),7,6
3,2,5:26,Buccaneers,Gaines Adams 45 yard interception return (Matt Bryant kick),14,6
4,2,0:00,Bears,Robbie Gould 28 yard field goal,14,9
5,3,2:54,Bears,Matt Forte 6 yard pass from Kyle Orton (Brandon Lloyd pass from Kyle Orton),14,17
6,4,6:38,Bears,Brandon Lloyd 19 yard pass from Kyle Orton (Robbie Gould kick),14,24
7,4,3:11,Buccaneers,Matt Bryant 35 yard field goal,17,24
8,4,0:07,Buccaneers,Jerramy Stevens 1 yard pass from Brian Griese (Matt Bryant kick),24,24
9,OT,4:21,Buccaneers,Matt Bryant 21 yard field goal,27,24
