,Quarter,Time,Tm,Detail,GNB,SDG
0,1.0,10:59,Packers,Ahman Green 4 yard rush (Ryan Longwell kick),7,0
1,1.0,6:02,Chargers,Steve Christie 20 yard field goal,7,3
2,2.0,8:59,Packers,Ryan Longwell 32 yard field goal,10,3
3,2.0,0:33,Packers,Donald Driver 7 yard pass from Brett Favre (Ryan Longwell kick),17,3
4,3.0,8:52,Chargers,Steve Christie 26 yard field goal,17,6
5,4.0,14:56,Chargers,LaDainian Tomlinson 7 yard pass from Drew Brees (David Boston pass from Drew Brees),17,14
6,4.0,12:10,Chargers,LaDainian Tomlinson 68 yard pass from Drew Brees (Steve Christie kick),17,21
7,4.0,11:18,Packers,Robert Ferguson 40 yard pass from Brett Favre (Ryan Longwell kick),24,21
8,4.0,8:37,Packers,Ahman Green 1 yard pass from Brett Favre (Ryan Longwell kick),31,21
9,4.0,3:58,Packers,Robert Ferguson 16 yard pass from Brett Favre (Ryan Longwell kick),38,21
