,Quarter,Tm,Detail,BUF,TAM
0,1.0,Bills,Roosevelt Leaks 8 yard rush,6,0
1,2.0,Buccaneers,Mel Carver 2 yard pass from Doug Williams (Bill Capece kick),6,7
2,2.0,Bills,Efren Herrera 49 yard field goal,9,7
3,2.0,Buccaneers,Bill Capece 27 yard field goal,9,10
4,3.0,Bills,Roosevelt Leaks 3 yard rush (Efren Herrera kick),16,10
5,3.0,Buccaneers,Gordon Jones 2 yard pass from Doug Williams (Bill Capece kick),16,17
6,4.0,Buccaneers,Mel Carver 13 yard rush (Bill Capece kick),16,24
7,4.0,Bills,Joe Ferguson 10 yard rush (Efren Herrera kick),23,24
