,Quarter,Time,Tm,Detail,STL,KAN
0,1.0,13:04,Chiefs,Frank Moreau 2 yard rush (Todd Peterson kick),0,7
1,1.0,9:09,Chiefs,Todd Peterson 34 yard field goal,0,10
2,1.0,4:33,Chiefs,Todd Peterson 20 yard field goal,0,13
3,1.0,2:56,Chiefs,Mike Cloud 6 yard blocked punt return (Todd Peterson kick),0,20
4,2.0,9:43,Rams,Marshall Faulk 1 yard rush (Pete Stoyanovich kick),7,20
5,2.0,6:49,Chiefs,Tony Gonzalez 9 yard pass from Elvis Grbac (Todd Peterson kick),7,27
6,2.0,5:15,Rams,Torry Holt 18 yard pass from Kurt Warner (Pete Stoyanovich kick),14,27
7,3.0,13:30,Chiefs,Derrick Alexander 30 yard pass from Elvis Grbac (Todd Peterson kick),14,34
8,3.0,8:50,Rams,Roland Williams 31 yard pass from Trent Green (Pete Stoyanovich kick),21,34
9,3.0,1:26,Chiefs,Kimble Anders 6 yard rush (pass failed),21,40
10,3.0,0:18,Rams,Isaac Bruce 22 yard pass from Trent Green (Pete Stoyanovich kick),28,40
11,4.0,10:51,Chiefs,Kimble Anders 4 yard rush (Todd Peterson kick),28,47
12,4.0,5:27,Chiefs,Troy Drayton 8 yard pass from Warren Moon (Todd Peterson kick),28,54
13,4.0,2:53,Rams,Isaac Bruce 4 yard pass from Trent Green (pass failed),34,54
