,Quarter,Time,Tm,Detail,NWE,DET
0,1.0,10:06,Patriots,Adam Vinatieri 31 yard field goal,3,0
1,1.0,9:44,Patriots,Tedy Bruschi 27 yard interception return (Adam Vinatieri kick),10,0
2,1.0,0:08,Lions,Jason Hanson 23 yard field goal,10,3
3,2.0,2:24,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),17,3
4,2.0,0:30,Lions,Jason Hanson 45 yard field goal,17,6
5,3.0,4:12,Lions,Jason Hanson 39 yard field goal,17,9
6,4.0,13:17,Patriots,Adam Vinatieri 29 yard field goal,20,9
7,4.0,9:46,Lions,Jason Hanson 46 yard field goal,20,12
