,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Scott Norwood 26 yard field goal,3,0
1,2.0,Bills,Larry Kinnebrew 1 yard rush (Scott Norwood kick),10,0
2,3.0,Bills,James Lofton 18 yard pass from Jim Kelly,16,0
3,3.0,Bills,Ronnie Harmon 25 yard pass from Jim Kelly (Scott Norwood kick),23,0
4,3.0,Bills,Thurman Thomas 3 yard rush (Scott Norwood kick),30,0
5,4.0,Bills,Kenneth Davis 17 yard rush (Scott Norwood kick),37,0
