,Quarter,Tm,Detail,NYJ,SDG
0,1.0,Chargers,Tony Baker 4 yard rush (Ray Wersching kick),0,7
1,2.0,Jets,Pat Leahy 20 yard field goal,3,7
2,2.0,Chargers,Rickey Young 2 yard rush (Ray Wersching kick),3,14
3,3.0,Jets,Steve Davis 1 yard rush (Pat Leahy kick),10,14
4,4.0,Chargers,Ray Wersching 45 yard field goal,10,17
5,4.0,Chargers,Bo Matthews 1 yard rush (Ray Wersching kick),10,24
6,4.0,Jets,John Riggins 1 yard rush,16,24
