,Quarter,Time,Tm,Detail,WAS,GNB
0,1.0,9:10,Packers,Aaron Jones 4 yard rush (Mason Crosby kick),0,7
1,1.0,0:39,Packers,Robert Tonyan 12 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2,2.0,3:48,Redskins,Adrian Peterson 2 yard rush (Dustin Hopkins kick failed),6,14
3,3.0,10:11,Packers,Mason Crosby 32 yard field goal,6,17
4,3.0,0:16,Redskins,Dustin Hopkins 52 yard field goal,9,17
5,4.0,2:38,Packers,Mason Crosby 33 yard field goal,9,20
6,4.0,1:22,Redskins,Terry McLaurin 13 yard pass from Dwayne Haskins (run failed),15,20
