,Quarter,Tm,Detail,BAL,ATL
0,1.0,Colts,Lou Michaels 47 yard field goal,3,0
1,2.0,Falcons,Junior Coffey 3 yard pass from Randy Johnson (Lou Kirouac kick),3,7
2,2.0,Colts,Lou Michaels 45 yard field goal,6,7
3,3.0,Colts,Lenny Moore 1 yard rush (Lou Michaels kick),13,7
4,3.0,Colts,Lou Michaels 36 yard field goal,16,7
5,4.0,Colts,Lou Michaels 13 yard field goal,19,7
