,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,6:19,Panthers,Graham Gano 32 yard field goal,0,3
1,1.0,0:22,Saints,Michael Thomas 5 yard pass from Drew Brees (Wil Lutz kick),7,3
2,2.0,10:46,Panthers,Graham Gano 48 yard field goal,7,6
3,2.0,5:42,Saints,Brandon Coleman 11 yard pass from Drew Brees (Wil Lutz kick),14,6
4,2.0,0:00,Saints,Wil Lutz 33 yard field goal,17,6
5,3.0,11:09,Saints,Ted Ginn Jr. 40 yard pass from Drew Brees (Wil Lutz kick),24,6
6,3.0,1:18,Panthers,Cam Newton 3 yard rush (Graham Gano kick),24,13
7,4.0,11:57,Saints,Wil Lutz 50 yard field goal,27,13
8,4.0,4:42,Saints,Alvin Kamara 25 yard rush (Wil Lutz kick),34,13
