,Quarter,Time,Tm,Detail,JAX,PIT
0,2.0,14:15,Jaguars,Keenan McCardell 7 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2.0,0:00,Steelers,Kris Brown 48 yard field goal,7,3
2,3.0,6:18,Jaguars,Mike Hollis 27 yard field goal,10,3
3,4.0,5:40,Jaguars,Mike Hollis 41 yard field goal,13,3
4,4.0,4:47,Jaguars,"Safety, Stewart fumbled ball out of end zone",15,3
5,4.0,0:54,Jaguars,"Safety, Smeenge sacked Stewart in end zone",17,3
