,Quarter,Time,Tm,Detail,JAX,ATL
0,1.0,11:34,Falcons,Devonta Freeman 17 yard rush (Younghoe Koo kick),0,7
1,1.0,9:34,Falcons,Devonta Freeman 8 yard pass from Matt Ryan (Younghoe Koo kick),0,14
2,2.0,9:17,Jaguars,Josh Lambo 40 yard field goal,3,14
3,2.0,0:14,Falcons,Younghoe Koo 23 yard field goal,3,17
4,3.0,2:32,Jaguars,Josh Lambo 27 yard field goal,6,17
5,4.0,13:41,Falcons,Qadree Ollison 3 yard rush (Younghoe Koo kick),6,24
6,4.0,12:08,Jaguars,Chris Conley 42 yard pass from Gardner Minshew II (pass failed),12,24
