,Quarter,Time,Tm,Detail,JAX,NYJ
0,1.0,,Jets,Keyshawn Johnson 21 yard pass from Vinny Testaverde (John Hall kick),0,7
1,2.0,,Jets,John Hall 52 yard field goal,0,10
2,2.0,0:40,Jets,Keyshawn Johnson 10 yard rush (John Hall kick),0,17
3,2.0,0:06,Jaguars,Jimmy Smith 52 yard pass from Mark Brunell (Mike Hollis kick),7,17
4,3.0,0:06,Jets,Curtis Martin 1 yard rush (John Hall kick),7,24
5,3.0,0:06,Jaguars,Keenan McCardell 3 yard pass from Mark Brunell (Mike Hollis kick),14,24
6,3.0,0:06,Jets,Curtis Martin 1 yard rush (John Hall kick),14,31
7,4.0,0:06,Jaguars,Jimmy Smith 19 yard pass from Mark Brunell (Mike Hollis kick),21,31
8,4.0,0:06,Jaguars,Mike Hollis 37 yard field goal,24,31
9,4.0,0:06,Jets,John Hall 30 yard field goal,24,34
