,Quarter,Tm,Detail,CLE,OAK
0,1.0,Raiders,George Blanda 43 yard field goal,0,3
1,2.0,Raiders,Charlie Smith 27 yard pass from Daryle Lamonica (George Blanda kick),0,10
2,2.0,Raiders,George Blanda 9 yard field goal,0,13
3,2.0,Browns,Leroy Kelly 10 yard pass from Bill Nelsen (Don Cockroft kick),7,13
4,2.0,Browns,Don Cockroft 42 yard field goal,10,13
5,3.0,Browns,Bo Scott 63 yard rush (Don Cockroft kick),17,13
6,4.0,Browns,Don Cockroft 32 yard field goal,20,13
7,4.0,Raiders,Warren Wells 14 yard pass from George Blanda (George Blanda kick),20,20
8,4.0,Raiders,George Blanda 52 yard field goal,20,23
