,Quarter,Time,Tm,Detail,BAL,JAX
0,1.0,1:42,Jaguars,Josh Scobee 54 yard field goal,0,3
1,2.0,5:58,Jaguars,Josh Scobee 54 yard field goal,0,6
2,3.0,6:30,Jaguars,Josh Scobee 22 yard field goal,0,9
3,4.0,2:02,Ravens,Anquan Boldin 5 yard pass from Joe Flacco (Billy Cundiff kick),7,9
4,4.0,1:43,Jaguars,Josh Scobee 51 yard field goal,7,12
