,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Gary Brown 38 yard pass from Warren Moon (Al Del Greco kick),7,0
1,1.0,Oilers,Bo Orlando 38 yard interception return (Al Del Greco kick),14,0
2,2.0,Oilers,Al Del Greco 34 yard field goal,17,0
3,2.0,Oilers,Al Del Greco 22 yard field goal,20,0
4,2.0,Steelers,Gary Anderson 26 yard field goal,20,3
5,3.0,Oilers,Al Del Greco 33 yard field goal,23,3
6,3.0,Steelers,Eric Green 36 yard pass from Neil O'Donnell (Gary Anderson kick),23,10
7,4.0,Oilers,Al Del Greco 21 yard field goal,26,10
8,4.0,Steelers,Merril Hoge 5 yard rush (Gary Anderson kick),26,17
