,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,4:53,Packers,Davante Adams 29 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,2.0,1:48,Bears,Eddy Pineiro 30 yard field goal,3,7
2,3.0,12:52,Packers,Aaron Jones 21 yard rush (Mason Crosby kick),3,14
3,3.0,7:52,Packers,Aaron Jones 2 yard rush (Mason Crosby kick),3,21
4,4.0,15:00,Bears,Eddy Pineiro 27 yard field goal,6,21
5,4.0,8:13,Bears,Anthony Miller 2 yard pass from Mitchell Trubisky (Eddy Pineiro kick),13,21
