,Quarter,Time,Tm,Detail,NYG,MIN
0,1.0,10:12,Vikings,Aaron Elling 51 yard field goal,0,3
1,1.0,7:19,Giants,Ike Hilliard 19 yard pass from Kerry Collins (Brett Conway kick),7,3
2,2.0,3:31,Giants,Brett Conway 20 yard field goal,10,3
3,2.0,1:53,Vikings,Randy Moss 33 yard pass from Daunte Culpepper (Aaron Elling kick),10,10
4,2.0,0:04,Giants,Brett Conway 44 yard field goal,13,10
5,3.0,13:14,Giants,Brett Conway 37 yard field goal,16,10
6,3.0,6:22,Vikings,Randy Moss 1 yard pass from Daunte Culpepper (Aaron Elling kick),16,17
7,4.0,5:29,Giants,Tiki Barber 2 yard rush (pass failed),22,17
8,4.0,3:39,Giants,Ike Hilliard 14 yard pass from Kerry Collins (Brett Conway kick),29,17
