,Quarter,Tm,Detail,IND,RAM
0,1.0,Rams,Mike Lansford 40 yard field goal,0,3
1,1.0,Colts,Dean Biasucci 19 yard field goal,3,3
2,1.0,Rams,Henry Ellard 29 yard pass from Jim Everett (Mike Lansford kick),3,10
3,2.0,Colts,Clarence Verdin 82 yard pass from Chris Chandler (Dean Biasucci kick),10,10
4,2.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),17,10
5,2.0,Rams,Henry Ellard 17 yard pass from Jim Everett (Mike Lansford kick),17,17
6,3.0,Rams,Henry Ellard 6 yard pass from Jim Everett (Mike Lansford kick),17,24
7,4.0,Rams,Greg Bell 2 yard rush (Mike Lansford kick),17,31
