,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,Ron Smith 24 yard interception return (Bruce Gossett kick),7,0
1,2.0,Rams,Bruce Gossett 12 yard field goal,10,0
2,2.0,Falcons,Bob Etter 16 yard field goal,10,3
3,2.0,Rams,Wendell Tucker 22 yard pass from Roman Gabriel (Bruce Gossett kick),17,3
4,3.0,Falcons,Bob Etter 22 yard field goal,17,6
5,3.0,Rams,Jack Snow 21 yard pass from Roman Gabriel (Bruce Gossett kick),24,6
6,4.0,Rams,Larry Smith 33 yard pass from Roman Gabriel (Bruce Gossett kick),31,6
7,4.0,Rams,Tommy Mason 67 yard pass from Karl Sweetan (Bruce Gossett kick),38,6
