,Quarter,Tm,Detail,SFO,CLE
0,1.0,Browns,Billy Reynolds 5 yard rush (Lou Groza kick),0,7
1,2.0,Browns,Lou Groza 26 yard field goal,0,10
2,2.0,49ers,Hugh McElhenny 6 yard rush (Gordie Soltau kick),7,10
3,3.0,Browns,Lou Groza 11 yard field goal,7,13
4,4.0,Browns,Ray Renfro 34 yard pass from Otto Graham (Lou Groza kick),7,20
5,4.0,49ers,Hugh McElhenny 31 yard pass from Y.A. Tittle (Gordie Soltau kick),14,20
6,4.0,Browns,Lou Groza 28 yard field goal,14,23
7,4.0,49ers,Y.A. Tittle 7 yard rush (Gordie Soltau kick),21,23
