,Quarter,Time,Tm,Detail,DET,BUF
0,1.0,,Bills,Steve Christie 47 yard field goal,0,3
1,2.0,,Lions,Jason Hanson 28 yard field goal,3,3
2,2.0,,Bills,Andre Reed 43 yard pass from Todd Collins (Steve Christie kick),3,10
3,2.0,,Bills,Steve Christie 33 yard field goal,3,13
4,3.0,,Lions,Jason Hanson 30 yard field goal,6,13
5,4.0,,Lions,Scott Mitchell 8 yard rush (Jason Hanson kick),13,13
6,4.0,,Bills,"Safety, B. Smith and Hansen tackled Sanders in end zone",13,15
7,4.0,,Bills,Antowain Smith 56 yard rush (Steve Christie kick),13,22
