,Quarter,Time,Tm,Detail,CIN,JAX
0,2.0,,Bengals,Jeff Blake 8 yard rush (Doug Pelfrey kick),7,0
1,2.0,,Jaguars,Jimmy Smith 31 yard pass from Steve Beuerlein (Mike Hollis kick),7,7
2,3.0,,Jaguars,Mike Hollis 36 yard field goal,7,10
3,4.0,,Bengals,Doug Pelfrey 31 yard field goal,10,10
4,4.0,,Jaguars,Mike Hollis 39 yard field goal,10,13
5,4.0,,Bengals,Carl Pickens 5 yard pass from Jeff Blake (Doug Pelfrey kick),17,13
