,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,John Adams 10 yard rush (Roger LeClerc kick),7,0
1,1.0,49ers,Monty Stickles 44 yard pass from John Brodie (Tommy Davis kick),7,7
2,1.0,49ers,Tommy Davis 15 yard field goal,7,10
3,1.0,49ers,J.D. Smith 5 yard rush (Tommy Davis kick),7,17
4,2.0,Bears,Roger LeClerc 43 yard field goal,10,17
5,2.0,49ers,Tommy Davis 25 yard field goal,10,20
6,3.0,49ers,Aaron Thomas 70 yard pass from John Brodie (Tommy Davis kick),10,27
7,3.0,Bears,Bo Farrington 16 yard pass from Billy Wade (Roger LeClerc kick),17,27
8,3.0,49ers,Aaron Thomas 45 yard pass from John Brodie (Tommy Davis kick),17,34
9,3.0,49ers,R.C. Owens 23 yard rush (Tommy Davis kick),17,41
10,4.0,Bears,Mike Ditka 36 yard pass from Billy Wade (Roger LeClerc kick),24,41
11,4.0,Bears,Johnny Morris 80 yard pass from Billy Wade (Roger LeClerc kick),31,41
