,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Ollie Matson 56 yard rush (Pat Summerall kick),7,0
1,1.0,Cardinals,Woodley Lewis 39 yard pass from Lamar McHan (Pat Summerall kick),14,0
2,1.0,Cardinals,Lamar McHan 18 yard rush (Pat Summerall kick),21,0
3,2.0,Redskins,Jim Podoley 11 yard pass from Eddie LeBaron (Sam Baker kick),21,7
4,2.0,Cardinals,Pat Summerall 17 yard field goal,24,7
5,2.0,Cardinals,Woodley Lewis 8 yard pass from Lamar McHan (Pat Summerall kick),31,7
6,3.0,Cardinals,Ollie Matson 50 yard pass from Lamar McHan,37,7
7,3.0,Redskins,Steve Meilinger 7 yard pass from Eddie LeBaron (Sam Baker kick),37,14
8,4.0,Cardinals,Leo Sugar 1 yard fumble return (Pat Summerall kick),44,14
