,Quarter,Tm,Detail,KAN,MIA
0,1.0,Dolphins,Jim Jensen 4 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,2.0,Chiefs,Stephone Paige 20 yard pass from Steve DeBerg (Nick Lowery kick),7,7
2,2.0,Dolphins,Ferrell Edmunds 3 yard pass from Dan Marino (Pete Stoyanovich kick),7,14
3,2.0,Chiefs,James Saxon 6 yard rush (Nick Lowery kick),14,14
4,2.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),21,14
5,3.0,Chiefs,Nick Lowery 19 yard field goal,24,14
6,4.0,Dolphins,Pete Stoyanovich 22 yard field goal,24,17
7,4.0,Dolphins,Mark Clayton 7 yard pass from Dan Marino (Pete Stoyanovich kick),24,24
8,4.0,Chiefs,Nick Lowery 41 yard field goal,27,24
