,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,,Dolphins,Joe Nedney 28 yard field goal,0,3
1,2.0,,Dolphins,Joe Nedney 41 yard field goal,0,6
2,2.0,,Bills,Andre Reed 67 yard pass from Jim Kelly (Steve Christie kick),7,6
3,3.0,,Dolphins,Joe Nedney 18 yard field goal,7,9
4,4.0,,Dolphins,O.J. McDuffie 5 yard pass from Dan Marino (Joe Nedney kick),7,16
5,4.0,,Bills,Eric Moulds 16 yard pass from Jim Kelly (Steve Christie kick),14,16
