,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Jan Stenerud 20 yard field goal,3,0
1,2.0,Giants,Rob Carpenter 14 yard rush (Ali Haji-Sheikh kick),3,7
2,2.0,Giants,Ali Haji-Sheikh 56 yard field goal,3,10
3,3.0,Giants,Terry Jackson 35 yard defensive fumble return (Ali Haji-Sheikh kick),3,17
4,3.0,Giants,Ali Haji-Sheikh 32 yard field goal,3,20
5,3.0,Giants,Earnest Gray 27 yard pass from Scott Brunner (Ali Haji-Sheikh kick),3,27
