,Quarter,Time,Tm,Detail,CLE,PIT
0,2.0,11:26,Steelers,Heath Miller 8 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
1,2.0,4:28,Steelers,Hines Ward 52 yard pass from Ben Roethlisberger (Jeff Reed kick),0,14
2,2.0,4:15,Browns,Josh Cribbs 98 yard kickoff return (Billy Cundiff kick),7,14
3,2.0,0:07,Steelers,Jeff Reed 32 yard field goal,7,17
4,3.0,11:39,Browns,Lawrence Vickers 1 yard pass from Derek Anderson (Billy Cundiff kick),14,17
5,3.0,8:32,Steelers,Rashard Mendenhall 2 yard rush (Jeff Reed kick),14,24
6,4.0,5:42,Steelers,Jeff Reed 39 yard field goal,14,27
