,Quarter,Time,Tm,Detail,SDG,OAK
0,1,11:26,Raiders,Tim Brown 36 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,1,6:46,Chargers,Drew Brees 21 yard pass from LaDainian Tomlinson (Steve Christie kick),7,7
2,2,13:19,Chargers,Justin Peelle 7 yard pass from Drew Brees (Steve Christie kick),14,7
3,2,8:14,Raiders,Doug Jolley 2 yard pass from Rich Gannon (Sebastian Janikowski kick),14,14
4,2,6:44,Chargers,LaDainian Tomlinson 55 yard rush (Steve Christie kick),21,14
5,3,10:41,Chargers,Steve Christie 32 yard field goal,24,14
6,4,9:29,Raiders,Sebastian Janikowski 23 yard field goal,24,17
7,4,5:59,Chargers,Lorenzo Neal 3 yard rush (Steve Christie kick),31,17
8,4,4:38,Raiders,Alvis Whitted 36 yard pass from Rich Gannon (Sebastian Janikowski kick),31,24
9,4,1:24,Raiders,Charlie Garner 24 yard rush (Sebastian Janikowski kick),31,31
10,OT,5:01,Raiders,Sebastian Janikowski 46 yard field goal,31,34
