,Quarter,Time,Tm,Detail,NWE,GNB
0,1.0,,Packers,Andre Rison 54 yard pass from Brett Favre (Chris Jacke kick),0,7
1,1.0,,Packers,Chris Jacke 37 yard field goal,0,10
2,1.0,,Patriots,Keith Byars 1 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,10
3,1.0,,Patriots,Ben Coates 4 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,10
4,2.0,14:14,Packers,Antonio Freeman 81 yard pass from Brett Favre (Chris Jacke kick),14,17
5,2.0,14:14,Packers,Chris Jacke 31 yard field goal,14,20
6,2.0,14:14,Packers,Brett Favre 2 yard rush (Chris Jacke kick),14,27
7,3.0,14:14,Patriots,Curtis Martin 18 yard rush (Adam Vinatieri kick),21,27
8,3.0,14:14,Packers,Desmond Howard 99 yard kickoff return (Mark Chmura pass from Brett Favre ),21,35
