,Quarter,Tm,Detail,WAS,ATL
0,1.0,Redskins,Kelvin Bryant 17 yard pass from Doug Williams (Ali Haji-Sheikh kick),7,0
1,1.0,Falcons,Floyd Dixon 22 yard pass from Scott Campbell (Mick Luckhurst kick),7,7
2,3.0,Redskins,Gary Clark 18 yard pass from Doug Williams,13,7
3,3.0,Falcons,Stacey Bailey 23 yard pass from Scott Campbell (Mick Luckhurst kick),13,14
4,4.0,Redskins,Art Monk 6 yard pass from Doug Williams (Ali Haji-Sheikh kick),20,14
5,4.0,Falcons,Gerald Riggs 4 yard rush (Mick Luckhurst kick),20,21
