,Quarter,Tm,Detail,BUF,IND
0,2,Colts,Dean Biasucci 52 yard field goal,0,3
1,2,Bills,Steve Christie 52 yard field goal,3,3
2,3,Bills,Don Beebe 65 yard pass from Jim Kelly (Steve Christie kick),10,3
3,4,Bills,Steve Christie 44 yard field goal,13,3
4,4,Colts,Rodney Culver 4 yard rush (Dean Biasucci kick),13,10
5,4,Colts,Dean Biasucci 23 yard field goal,13,13
6,OT,Colts,Dean Biasucci 40 yard field goal,13,16
