,Quarter,Tm,Detail,KAN,BOS
0,1.0,Chiefs,Mike Garrett 22 yard pass from Len Dawson (Jan Stenerud kick),7,0
1,1.0,Chiefs,Otis Taylor 16 yard pass from Len Dawson (Jan Stenerud kick),14,0
2,2.0,Chiefs,Mike Garrett 4 yard rush (Jan Stenerud kick),21,0
3,3.0,Chiefs,Robert Holmes 1 yard rush (Jan Stenerud kick),28,0
4,3.0,Chiefs,Jan Stenerud 16 yard field goal,31,0
