,Quarter,Tm,Detail,NYG,SFO
0,2.0,49ers,Earl Cooper 66 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,49ers,"Safety, Stuckey tackled Simms in end zone",0,9
2,2.0,49ers,Ray Wersching 43 yard field goal,0,12
