,Quarter,Tm,Detail,GNB,PHI
0,1.0,Eagles,Anthony Toney 8 yard pass from Keith Byars (Roger Ruzek kick),0,7
1,2.0,Eagles,Roger Ruzek 34 yard field goal,0,10
2,2.0,Eagles,Keith Byars 12 yard pass from Randall Cunningham (Roger Ruzek kick),0,17
3,4.0,Eagles,Randall Cunningham 17 yard rush (Roger Ruzek kick),0,24
4,4.0,Eagles,Thomas Sanders 1 yard rush (Roger Ruzek kick),0,31
