,Quarter,Tm,Detail,NOR,RAM
0,2.0,Rams,Wendell Tyler 16 yard rush (Rafael Septien kick),0,7
1,2.0,Saints,Henry Childs 17 yard pass from Archie Manning (Rich Szaro kick),7,7
2,3.0,Rams,Lawrence McCutcheon 1 yard rush (Rafael Septien kick),7,14
