,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Cliff Battles 7 yard rush (Riley Smith kick),7,0
1,1.0,Bears,Jack Manders 10 yard rush (Jack Manders kick),7,7
2,1.0,Bears,Jack Manders 37 yard pass from Bernie Masterson (Jack Manders kick),7,14
3,3.0,Redskins,Wayne Millner 55 yard pass from Sammy Baugh (Riley Smith kick),14,14
4,3.0,Bears,Eggs Manske 4 yard pass from Bernie Masterson (Jack Manders kick),14,21
5,3.0,Redskins,Wayne Millner 78 yard pass from Sammy Baugh (Riley Smith kick),21,21
6,3.0,Redskins,Ed Justice 35 yard pass from Sammy Baugh (Riley Smith kick),28,21
