,Quarter,Tm,Detail,RAM,IND
0,1.0,Colts,George Wonsley 10 yard rush (Dean Biasucci kick),0,7
1,1.0,Rams,Barry Redden 1 yard rush (Mike Lansford kick),7,7
2,1.0,Rams,Ron Brown 10 yard pass from Steve Bartkowski (Mike Lansford kick),14,7
3,2.0,Rams,Eric Dickerson 1 yard rush (Mike Lansford kick),21,7
4,4.0,Rams,Mike Lansford 46 yard field goal,24,7
