,Quarter,Time,Tm,Detail,NYJ,NOR
0,1.0,11:36,Saints,Wil Lutz 23 yard field goal,0,3
1,1.0,3:07,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),0,10
2,2.0,10:58,Jets,Bilal Powell 2 yard rush (Chandler Catanzaro kick),7,10
3,2.0,6:12,Saints,Alvin Kamara 10 yard pass from Drew Brees (Wil Lutz kick),7,17
4,2.0,0:09,Jets,Chandler Catanzaro 29 yard field goal,10,17
5,3.0,8:07,Jets,Chandler Catanzaro 26 yard field goal,13,17
6,4.0,7:39,Saints,Michael Thomas 4 yard pass from Drew Brees (Wil Lutz kick),13,24
7,4.0,1:51,Jets,Elijah McGuire 2 yard pass from Bryce Petty (pass failed),19,24
8,4.0,1:33,Saints,Mark Ingram 50 yard rush (Wil Lutz kick),19,31
