,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,,Cowboys,Emmitt Smith 5 yard rush (Chris Boniol kick),0,7
1,1.0,,Packers,Chris Jacke 50 yard field goal,3,7
2,1.0,3:53,Cowboys,Alvin Harper 94 yard pass from Troy Aikman (Chris Boniol kick),3,14
3,2.0,3:53,Cowboys,Blair Thomas 1 yard rush (Chris Boniol kick),3,21
4,2.0,3:53,Packers,Edgar Bennett 1 yard rush (pass failed),9,21
5,2.0,3:53,Cowboys,Scott Galbraith 1 yard pass from Troy Aikman (Chris Boniol kick),9,28
6,4.0,3:53,Cowboys,Blair Thomas 2 yard rush (Chris Boniol kick),9,35
