,Quarter,Tm,Detail,DEN,RAM
0,2.0,Broncos,Jerry Simmons 7 yard pass from Charley Johnson (Jim Turner kick),7,0
1,3.0,Rams,Jack Snow 4 yard pass from Roman Gabriel (David Ray kick),7,7
2,3.0,Rams,David Ray 12 yard field goal,7,10
3,4.0,Broncos,Jim Turner 38 yard field goal,10,10
4,4.0,Broncos,Jim Turner 12 yard field goal,13,10
5,4.0,Broncos,Jim Turner 36 yard field goal,16,10
