,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,,Cardinals,Adrian Murrell 12 yard pass from Jake Plummer (Chris Jacke kick),7,0
1,2.0,0:24,Cardinals,Chris Jacke 37 yard field goal,10,0
2,3.0,0:24,Cardinals,Larry Centers 3 yard pass from Jake Plummer (Chris Jacke kick),17,0
3,4.0,0:24,Cardinals,Chris Jacke 46 yard field goal,20,0
4,4.0,0:24,Cowboys,Billy Davis 6 yard pass from Troy Aikman (Richie Cunningham kick),20,7
