,Quarter,Tm,Detail,DET,CRD
0,1.0,Cardinals,Bill Smith 20 yard field goal,0,3
1,2.0,Lions,Bill Shepherd 3 yard rush (Chuck Hanneman kick),7,3
2,2.0,Lions,Chuck Hanneman 40 yard field goal,10,3
3,3.0,Lions,Chuck Hanneman 21 yard pass from Johnny Pingel (Chuck Hanneman kick),17,3
