,Quarter,Tm,Detail,SFO,NWE
0,1.0,Patriots,Derrick Ramsey 30 yard pass from Steve Grogan,0,6
1,1.0,49ers,Russ Francis 8 yard pass from Joe Montana (Ray Wersching kick),7,6
2,2.0,49ers,Jeff Moore 2 yard rush (Ray Wersching kick),14,6
3,2.0,49ers,Ray Wersching 45 yard field goal,17,6
4,3.0,49ers,Ray Wersching 35 yard field goal,20,6
5,3.0,49ers,Ray Wersching 36 yard field goal,23,6
6,3.0,49ers,Dwight Clark 13 yard pass from Joe Montana (Ray Wersching kick),30,6
7,4.0,Patriots,Stanley Morgan 32 yard pass from Steve Grogan (John Smith kick),30,13
8,4.0,49ers,Ray Wersching 24 yard field goal,33,13
