,Quarter,Time,Tm,Detail,SEA,PIT
0,1.0,,Steelers,Norm Johnson 33 yard field goal,0,3
1,2.0,,Seahawks,Christian Fauria 14 yard pass from Warren Moon (Todd Peterson kick),7,3
2,2.0,,Steelers,Chris Fuamatu-Ma'afala 10 yard rush (Norm Johnson kick),7,10
3,3.0,,Steelers,Norm Johnson 25 yard field goal,7,13
4,3.0,,Seahawks,Todd Peterson 47 yard field goal,10,13
