,Quarter,Time,Tm,Detail,IND,PHI
0,1.0,7:10,Eagles,Dallas Goedert 13 yard pass from Carson Wentz (Jake Elliott kick),0,7
1,1.0,0:24,Colts,Ryan Grant 5 yard pass from Andrew Luck (Adam Vinatieri kick),7,7
2,2.0,3:05,Eagles,Jake Elliott 33 yard field goal,7,10
3,3.0,9:41,Colts,Adam Vinatieri 35 yard field goal,10,10
4,3.0,8:23,Colts,Adam Vinatieri 31 yard field goal,13,10
5,3.0,2:50,Eagles,Jake Elliott 24 yard field goal,13,13
6,4.0,14:20,Colts,Adam Vinatieri 28 yard field goal,16,13
7,4.0,3:02,Eagles,Wendell Smallwood 4 yard rush (Jake Elliott kick),16,20
