,Quarter,Time,Tm,Detail,PIT,ARI
0,1,,Steelers,Jerome Bettis 2 yard rush (Norm Johnson kick),7,0
1,2,,Cardinals,Joe Nedney 32 yard field goal,7,3
2,2,,Steelers,Norm Johnson 40 yard field goal,10,3
3,3,,Cardinals,Frank Sanders 3 yard pass from Jake Plummer (Joe Nedney kick),10,10
4,3,,Steelers,Jerome Bettis 7 yard rush (Norm Johnson kick),17,10
5,3,,Cardinals,Chris Gedney 11 yard pass from Jake Plummer (Joe Nedney kick),17,17
6,4,,Steelers,Norm Johnson 39 yard field goal,20,17
7,4,,Cardinals,Joe Nedney 19 yard field goal,20,20
8,OT,,Steelers,Jerome Bettis 10 yard rush,26,20
