,Quarter,Tm,Detail,ATL,MIN
0,1.0,Falcons,Mick Luckhurst 33 yard field goal,3,0
1,1.0,Vikings,Jan Stenerud 22 yard field goal,3,3
2,2.0,Vikings,Jan Stenerud 54 yard field goal,3,6
3,2.0,Falcons,Mick Luckhurst 43 yard field goal,6,6
4,3.0,Vikings,Leo Lewis 42 yard pass from Tommy Kramer (Jan Stenerud kick),6,13
5,3.0,Falcons,Stacey Bailey 57 yard pass from Steve Bartkowski (Mick Luckhurst kick),13,13
6,3.0,Vikings,Steve Jordan 21 yard pass from Tommy Kramer (Jan Stenerud kick),13,20
7,3.0,Vikings,Dwight Collins 43 yard pass from Alfred Anderson (Jan Stenerud kick),13,27
8,4.0,Falcons,Billy Johnson 32 yard pass from Steve Bartkowski (Mick Luckhurst kick),20,27
