,Quarter,Tm,Detail,NWE,ATL
0,1.0,Patriots,Greg Davis 52 yard field goal,3,0
1,1.0,Falcons,Paul McFadden 30 yard field goal,3,3
2,1.0,Patriots,Greg Davis 32 yard field goal,6,3
3,2.0,Patriots,Greg Davis 32 yard field goal,9,3
4,2.0,Falcons,Paul McFadden 30 yard field goal,9,6
5,2.0,Patriots,Cedric Jones 15 yard pass from Doug Flutie,15,6
6,2.0,Falcons,Keith Jones 1 yard rush (Paul McFadden kick),15,13
7,4.0,Falcons,Paul McFadden 22 yard field goal,15,16
