,Quarter,Time,Tm,Detail,BUF,IND
0,2.0,,Bills,Steve Christie 20 yard field goal,3,0
1,2.0,,Bills,Steve Christie 21 yard field goal,6,0
2,3.0,,Colts,Floyd Turner 13 yard pass from Jim Harbaugh (Dean Biasucci kick),6,7
3,3.0,,Colts,Dean Biasucci 22 yard field goal,6,10
4,4.0,,Bills,Steve Christie 24 yard field goal,9,10
