,Quarter,Tm,Detail,STL,NWE
0,1.0,Cardinals,Doug Marsh 1 yard pass from Neil Lomax (Neil O'Donoghue kick),7,0
1,1.0,Cardinals,Tom Howard 29 yard defensive fumble return (Neil O'Donoghue kick),14,0
2,1.0,Patriots,Tony Franklin 19 yard field goal,14,3
3,2.0,Cardinals,Neil O'Donoghue 36 yard field goal,17,3
4,2.0,Cardinals,Neil O'Donoghue 33 yard field goal,20,3
5,2.0,Cardinals,Ottis Anderson 2 yard rush (Neil O'Donoghue kick),27,3
6,3.0,Patriots,Lin Dawson 11 yard pass from Tony Eason (Tony Franklin kick),27,10
7,4.0,Cardinals,Stump Mitchell 3 yard rush,33,10
