,Quarter,Tm,Detail,CHI,BUF
0,1,Bears,"Safety, blocked punt out of end zone",2,0
1,2,Bears,Bill Senn unknown yard pass from Red Grange (Joey Sternaman kick),9,0
2,3,Bears,Bill Senn unknown yard pass from Walt Holmer (Paddy Driscoll kick),16,0
