,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,10:59,Eagles,Jeff Thomason 1 yard pass from Donovan McNabb (David Akers kick),7,0
1,1.0,0:02,Eagles,Duce Staley 1 yard rush (David Akers kick),14,0
2,2.0,13:40,Eagles,Jeremiah Trotter 27 yard interception return (David Akers kick),21,0
3,2.0,6:23,Eagles,David Akers 33 yard field goal,24,0
4,2.0,2:53,Cowboys,Tim Seder 34 yard field goal,24,3
5,2.0,0:00,Cowboys,Tim Seder 38 yard field goal,24,6
6,3.0,6:30,Eagles,David Akers 37 yard field goal,27,6
7,4.0,14:56,Eagles,Donovan McNabb 3 yard rush (David Akers kick),34,6
8,4.0,12:22,Eagles,Brian Mitchell 6 yard rush (David Akers kick),41,6
9,4.0,6:45,Cowboys,Joey Galloway 4 yard pass from Randall Cunningham (Rocket Ismail pass from Randall Cunningham),41,14
