,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Reggie Langhorne 73 yard pass from Bernie Kosar (Matt Bahr kick),0,7
1,2.0,Cowboys,Darryl Clack 7 yard pass from Steve Pelluer (Roger Ruzek kick),7,7
2,2.0,Browns,Matt Bahr 25 yard field goal,7,10
3,2.0,Cowboys,Steve Folsom 5 yard pass from Steve Pelluer (Roger Ruzek kick),14,10
4,4.0,Browns,Herman Fontenot 14 yard pass from Bernie Kosar (Matt Bahr kick),14,17
5,4.0,Browns,Clarence Weathers 36 yard pass from Bernie Kosar (Matt Bahr kick),14,24
6,4.0,Cowboys,Herschel Walker 4 yard rush (Roger Ruzek kick),21,24
