,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,George McAfee 2 yard rush (Ray McLean kick),0,7
1,2.0,Bears,Ken Kavanaugh 6 yard pass from Sid Luckman (Ray McLean kick),0,14
2,2.0,Bears,George McAfee 4 yard rush (Ray McLean kick),0,21
3,2.0,Steelers,Val Jansante 15 yard pass from Gonzalo Morales (Joe Glamp kick),7,21
4,3.0,Bears,Don Kindt 3 yard rush (Ray McLean kick),7,28
5,4.0,Bears,Jim Keane 6 yard pass from Sid Luckman (Ray McLean kick),7,35
6,4.0,Bears,Ken Kavanaugh 26 yard pass from Nick Sacrinty (Ray McLean kick),7,42
7,4.0,Bears,George Gulyanics 44 yard rush (Ray McLean kick),7,49
